,x_values
0,1.4101728628565324
1,0.8871977188986141
2,3.753073758204292
3,4.03417369633632
4,4.952525710003367
5,2.0630883845571324
6,1.860090428963916
7,3.882064803709984
8,1.7040177012650892
9,4.653786628017824
10,4.2920637592150594
11,2.1449701368750915
12,3.754355338957487
13,3.7727143704234116
14,0.515619344179663
15,4.512764533397833
16,2.5262618622392856
17,4.132287330538708
18,1.6002480051530588
19,4.477616142481002
20,1.9460083936708155
21,0.0541882574014918
22,4.5269098820963185
23,0.4564333839306678
24,1.5965681879520743
25,4.750309835254025
26,4.7530357346877805
27,2.8671894406164307
28,3.159186060848996
29,2.2422276098915987
30,1.4660538584903227
31,1.6433227268495798
32,3.362592280385192
33,3.7618726471884
34,3.9578952186292424
35,3.9480907139727694
36,0.45603051524345184
37,2.472101523512907
38,0.2877938000832214
39,2.7476444116186776
40,2.207652506866885
41,4.438520913791499
42,1.7545750627603933
43,0.5853350821380293
44,0.7149584102641793
45,3.8075531585873614
46,3.0910903165813055
47,0.5056133806139512
48,0.42053403057498717
49,3.5048456572955997
50,0.36381503182096764
51,4.1093002964517815
52,3.531211135782481
53,0.4067439032094988
54,0.4241885704259596
55,4.933197892505877
56,1.8713539787806015
57,1.8532107353344545
58,4.063997836287513
59,4.736242886919293
60,4.930005319114354
61,3.766890926294708
62,1.881297927654579
63,0.4175035834933438
64,3.885734579637184
65,2.792021248679025
66,2.1211100462348815
67,4.53177192547368
68,0.5559874115307567
69,2.4631255214542955
70,0.056768223837095344
71,2.3433032099706312
72,0.28151637840918675
73,0.5940895813403596
74,0.5876312338855244
75,3.246051510580318
76,3.7302243963271167
77,2.916843825485798
78,4.810862742372709
79,1.8743528976185204
80,1.4285604314093037
81,4.342995640947302
82,1.117979192597263
83,4.816112697203057
84,0.06077237344908171
85,4.849394133538195
86,0.21579955975288057
87,4.455715568490356
88,2.6385055454314994
89,4.964823980596502
90,0.3689828236769943
91,2.7692714220066037
92,4.846512678095495
93,2.615489220850744
94,3.1469931906763127
95,3.4787434449230856
96,2.272705323838866
97,3.137790400420317
98,2.921571559615501
99,4.505790052454945
100,0.22723190170728935
101,1.4048159479611515
102,4.752057420382794
103,4.4513189194545815
104,2.278283763928565
105,3.1006629890076836
106,1.3869059149056633
107,0.9406057986188066
108,2.3184920246999106
109,1.766761140130264
110,2.9182805592543604
111,0.3886731848249242
112,4.8719740383308325
113,4.931053722398015
114,3.490808570098726
115,2.680481831720602
116,1.5476380814316388
117,4.068975098534743
118,3.4236558627693965
119,0.8130846967244565
120,4.554635922469212
121,4.112686214615845
122,4.74899956645962
123,3.6285975419418
124,3.0670759796789495
125,2.0912151814530944
126,4.663642416770067
127,4.330319447502042
128,0.22609335053094703
129,0.13183487248626002
130,1.8823168343902479
131,4.052766653909164
132,4.936380646574722
133,0.7520844555176409
134,2.9706535767606757
135,1.9044542831551077
136,4.8495719890730165
137,4.210594615678543
138,4.1916435235556895
139,2.3434657989748513
140,2.074097511688326
141,1.3670353596535312
142,0.2818774832546356
143,4.323611881275266
144,4.064505045650388
145,4.998588366430653
146,4.983184185369527
147,2.7771585280131372
148,3.8449370759025525
149,4.72382864941214
150,4.248236953387058
151,1.2367405087159882
152,2.2527206765504677
153,0.6457970757574749
154,4.770255136293612
155,3.0308731722544002
156,1.1432140275173137
157,3.3585034220292838
158,3.090641202289479
159,1.7908135901642024
160,0.5677879609981451
161,3.357865977963998
162,2.6015385045189667
163,3.8615919586781966
164,2.600817505559967
165,4.2609075015927
166,2.759534193872428
167,2.8046898576769315
168,4.383268013291725
169,2.0174143310619854
170,0.6700761422532037
171,0.14391338156669486
172,3.775686278368095
173,3.1015477567673235
174,3.5203988404961177
175,1.0648208075445535
176,0.6818573779338488
177,0.07272332833940964
178,1.7529377940329849
179,2.9495884342731653
180,1.9612202254986615
181,2.1873746101186455
182,4.520793472468742
183,1.7412773351165018
184,2.569947445799054
185,3.9182650637057153
186,1.9827139116063508
187,3.1104335011393673
188,4.311818543733726
189,4.747603118288211
190,0.7353674046451897
191,4.632938125807472
192,2.460581465397691
193,1.2912219414947916
194,2.2956787811913064
195,4.900162876427386
196,2.463090469964348
197,1.643758051437541
198,3.167004271583629
199,1.2007280938909655
200,0.3793166405433196
201,0.6443986095532461
202,0.6402291947888622
203,0.7595134675614718
204,0.6941358632470507
205,3.2043737240160732
206,0.9094004219957241
207,1.728336416619316
208,4.483942049530059
209,2.3698082013143615
210,3.3377886926051357
211,0.8615993560081492
212,0.9614450940433539
213,0.20434308133239432
214,0.8446753153608227
215,1.3929516951597931
216,0.8850524213837341
217,0.44351266878527806
218,0.603179355503004
219,2.303893840163629
220,1.0316685920289625
221,1.8213493052403773
222,2.5170863542742845
223,3.4519741431468267
224,0.19656069920549468
225,3.997051994545213
226,3.139501947454539
227,0.40879515974435954
228,4.3678931205338865
229,4.604362002659066
230,0.30538979927431875
231,1.3843882407360186
232,4.031006398965307
233,3.7412984519182917
234,0.9226050967818866
235,1.0467466166835515
236,1.85236051395691
237,2.4226149259551066
238,3.0912738576514798
239,1.844568197848862
240,2.3126735806657397
241,3.7373546906687825
242,0.1834160144529895
243,1.2621847217201037
244,3.566747929422762
245,4.476034188435997
246,2.5583872105783305
247,2.6605674263265784
248,0.5358600566988803
249,2.237061834117273
250,2.6630863322751157
251,1.2123525181736483
252,1.3462161547469047
253,1.8864208155231132
254,0.10035598888863184
255,1.6103958279158914
256,1.0572400349827231
257,1.6374867608895731
258,0.5988106590962561
259,4.452636403699475
260,2.9679622677702433
261,3.395511595722448
262,3.9458561930366916
263,2.492210994645286
264,0.43460144043711846
265,2.685532709092739
266,2.9342055901043955
267,3.72719737092165
268,2.158297731148397
269,0.6379015139778188
270,1.4188795289936222
271,1.8154114819931755
272,3.229586206658006
273,2.8538915233445596
274,1.7804836294892312
275,4.932576243964898
276,3.0288740967844356
277,1.1861339586799724
278,0.5089123631020187
279,0.7642956959216601
280,1.2297886419225406
281,0.8034068662977784
282,0.9328351202565288
283,1.4254758434692354
284,0.8668679764737741
285,4.483827123132126
286,0.40116872830821104
287,2.6225569478512734
288,2.0519841349483077
289,4.911893084543032
290,0.5601945108402617
291,1.9892779952287083
292,4.847352166376845
293,4.327535629469901
294,4.0853603547464
295,1.289514135224699
296,0.8544379369503291
297,3.343216099622155
298,4.646879945637929
299,2.783814465069649
